text; label; domain; star
Recommended, friendly and patient sellers make satisfy in explaining the goods, ori approved, Trusted sellers, satisfying to buy here; 1; tech; -
Like it 💜 has been checked and IMEI is listed, the item is original guarantee 😆 (it is not greenpeel, it has also been informed by the seller when order is no problem 🙂, warranty on 2 feb received 9 feb) The item is smooth, the package is neat and safe, the seller is friendly and informative . Severe friendly prices. Recommended! Thank you!; 1; tech; -
Thank you, finally the package arrived in yellow, it was checked on apple.com and the item was original ... the price was cheap ... because the delivery from Batam had to be patient for a few days waiting for an update from the courier, but the package was sure to arrive ... success for the seller huh ya 🏻🙏🏼; 1; tech; -
the packaging is only from buble wrap instead of wood as I see in other testimonials, it's a bit disappointed. but the item arrived safely and was a little late from the day that was predicted by the ORI seriously; 0; tech; -
Original product and the response from the admin was very friendly, the response was very good. Buy purple but unstable want white, but the admin is good so it's okay to replace white. It's been 24 hours of use so far, okay, okay, and hopefully it will continue too. Don't regret buying here!; 1; tech; - 
acc safe items Original sellers are patient and kind in answering questions that are very drama because the shipping service is too late 👌🏻👌🏻 Competitive prices 🥰😘; 1; tech; -
Alhamdulillah until 'the first time I bought a cellphone online and was worried but thank God the item was original and imei registered and all of my questions were responded well sm admin' thanks yah ... smoga add online sales success the best 👍👍👍; 1; tech; -
The seller is very friendly. Degdegn also bought online, but finally the package arrived safely. Order on 30 October, package until November 6th. 7 days waiting, must be patient. Safe packing and smooth production. Just review 2 days after arriving because I want to check first and it's safe. 10/20/20 Guarantee thanks; 1; tech; -
cool bangett! oriii just checked on apple.com good luck !!!; 1; tech; -
Okay stuff. Without any less. The delivery is really severe. The receipt is shipped to shari then the receipt is canceled. 2 days later the package was truly sent. Delivery from Tanjung Balai Karimun, not from Jakarta as it appeared in the store location. 👎; 0; tech; -
- Services (4/5) responsive, all questions are answered patiently - Delivery (5/5) Use a store courier, fast, safe -Products (5/5) The original BNIB greenpeel is not active Thank you seller!; 1; tech; -
Buy 3 mobo 1155 2 good 1 dead, return will be repaired, if it is damaged it will be guaranteed to be the same eh ... there is no further action from the seller. I hope there are benefits.; 0; tech; -
Fast shipping but unfortunately the LDC is not original because the sensor is unresponsive, the picture is not sharp and the color is yellowish, although I know this is second but it is unfortunate.; 0; tech; -
Immediately used and really satisfying, although first confirmed if the goods are empty but the next day it was tried to match the order and arrived, even though it turned out nano + esim tp gpp, thank you sis💕; 1; tech; -
Thanks, as expected, the price is the most humble but the quality of the goods same and 100% original, the seller always responds kindly, successfully. Thank you and success always 🤗; 1; tech; -
The printer does not work as it should, when I print, it actually freezes. when the paper finishes printing the results are like that. in the store writing 7 days return, but I even sent to the HP service center for warranty claims, if like this I am the same as working twice and buying a printer to the shop; 0; tech; -
Order 2 but only come 1 request a refund for items that are not there but are made complicated, the cash price is not too much but I will not buy it again; 0; acc; -
Why is this bottom missing? New model or what? Then the fragrance is also very unpleasant.; 0; acc; -
Buy several orders in 3 days, the seller is not careful and sends the wrong size. When I asked, I still didn't think carefully about the order yesterday. Fortunately, this time I was refunded, it was tired but. Uda is last time buying here, bhay; 0; acc; -
The color does not match the picture. When I asked why that was the reason ‘we changed colors because the customer didn't like the previous colors' why didn't I ask me that way before ... disappointed how lazy I was to ask for a refund because he insisted on his own; 0; acc; -
I once bought the yellow (the left one) so the color, uh the second one came the color is very faded. The shop is not consistent, the seller is asked, Capede; 0; acc; -
New item arrived. There was a defect and it couldn't be removed; 0; acc; -
This application is very firm customer service. He was wrong a lot, I gave 1 star ... eh he got angry. Try to watch the audience ~~; 0; acc; -
Very good, no regrets, this is a pen to buy again, the recommendation is expensive but the quality is dbest at the time, not regret it, yes, even though it's really good because of this condition, yeah, so the answer is - +2 weekly already quarantined on the road though; 1; acc; -
Very casenyaa furniture I just knew that would be soooooo wow. There are a few blisters but it doesn't matter👍🏻; 1; acc; -
Very good, the color is right. Worth it to be purchased at a price below 50k. The delivery is also quite fast. But unfortunately the surface is rather slippery.; 1; acc; -
Wait a long time, but understand because it's from China, but choose the purple color, it comes in pink😭 I am ready for the bikos, the material is good and good ”uhuy; 1; acc; -
It turns out that the information is faster than the statement! A very good oath. And the material is thick + smooth. Bgt real pic !!!!!! ✨✨✨✨ ♥ ️ ♥ ; 1; acc; -
Alhamdulillah, the product has arrived, even though the delivery is almost a week, it's fine "because of the plague situation too. The quality of the product is very good, the order is as ordered, the seller response is also very good and friendly, this will be a subscription; 1; acc; -
Finally the long-awaited arrival yuhuuu, the delivery really took a long time, it was in acc ordance with the date of the shopee warranty, the quality of the product was very good for me so seriously! Must-have, perfect products !! Thank you💕💕; 1; acc; -
Very good and neat packaging. The color also matches what is drawn. Does not disappoint, delivery is quite fast. And given a bonus key chain.; 1; acc; -
this woii case is really good Next time, I'll buy it here again️️️️ Get a bonus key chain too, it's fun🥰🥺; 1; acc; -
The case is hard and it's narrow d the package is like an anti-scratch crack the camera also doesn't fit the shape :( but the material and color are good; 1; acc; -
The color of the casing is in line with the expectations, it's already used ok, but there is a little chill on the right side of the screen, the rubber casing is flexible, the corners of the casing are also sturdy hard, pretty well the casing and hrga are also affordable; 1; acc; -
Translator make sellers and buyers be together. The seller is very communicative, i pick the color but pick the wrong number then wants to ask and correct it 👍🏻 Plus get a cute keychain bonus; 1; acc; -
It is really great that Poko is very sorry to buy here the ingredients are soft and elegant; 1; acc; -
The owner was very kind at the beginning the order was already given a bonus, at first I was hesitant because I was afraid it wouldn't sell but then the item arrived immediately rushed to the location without being rushed to the full photo just thank you sis! ♥; 1; acc; -
The key chain is good ... suitable for souvenirs that are more ...; 1; acc; -
Nice cute unique hangers, wife also likes ... Next, God willing, I will order again ...; 1; acc; -
The bracelet was really funny, but it came a long time ago :') I like it, but I don't know about how to make the string complicated😅 Overall great; 1; acc; -
