text; label; domain
Direkomendasikan, penjual ramah dan sabar membuat menjelaskan Barang memuaskan, disetujui ori Penjual terpercaya beli di sini puas; 1; tech; -
Terima kasih, akhirnya paketnya sampai warna yellow, sudah dicek di apple.com dan barangnya ori..harganya termasuk murah..karena pengiriman dari batam harus sabar beberapa hari menunggu update dari kurir tapi paket pasti sampai..sukses buat seller ya 👍🏻👍🏻🙏🏼; 1; tech; -
Suka bangeet 💜 sudah dicek dan IMEI listed,barangnya jaminan ori 😆 (memang ga greenpeel, sudah diinfo juga dari seller waktu order jd no problem 🙂, warranty on 2 feb terima 9 feb) Itemnya mulus, packingan rapi dan aman, seller ramah dan informatif. Harga bersahabat parah. Recommended! Thank you!; 1; tech; -
packagingnya cuman dari buble wrap bukan kayu seperti yg saya liat di testimoni yg lain agak kecewa sih. tapi barangnya nyampai dengan selamat dan agak sedikit telat dri hri yg di prediksi IPHONENYA ORI seriusan ori nih genggss; 1; tech; -
Produk original dan respon dari admin ramah sekali, responnya baik banget. Beli ungu tapi labil mau putih, tapi adminnya baik jadi gak apa apa diganti putih. Udah 24 jam pemakaian sejauh ini oke oke aja dan semoga lanjutnya juga. Gak nyesel beli disini!; 1; tech; -
Barang aman acc Original seller sabar dan baik dlam menjawab pertanyaan yg drama banget karena jasa pengiriman yg molor dikit 👌🏻👌🏻 Harga bersaing 🥰😘; 1; tech; -
Alhamdulillah sampai' baru pertama kali beli hp via online dan sempat khawatir tp alhamdulillah barangnya ori dan imei terdaftar dan semua pertanyaan saya di respon baik sm admin' makasih yah... smoga tambah suksess jualan online the best 👍👍👍; 1; tech; -
Seller ramah banget. Degdegn juga beli online, tapi akhirnya paket dateng dengan selamat. Pesan tgl 30 okt, paket sampai tanggal 6 nov. 7 hari menunggu, harus sabar. Packing aman n produck mulus. Baru review 2 hari setelah sampai karena pengen cek2 dulu dan ternyata aman. Garansi 20/10/20 thanks; 1; tech; -
kereeen bangett ! oriii pas di cek di apple.com sukses yaaa !!!; 1; tech; -
Barang oke. Tanpa kurang apapun. Pengiriman bener bener parah. Sempet diinput resi to shari kemudian resi tsb di cancel. 2 hari kemudian baru dikirim bener itu paket. Pengiriman dari tanjung balai karimun, bukan dr jakarta seperti yg tampil di lokasi toko. 👎; 0; tech; -
- Pelayanan (4/5) responsif, semua pertanyaan dijawab dengan sabar - Delivery (5/5) Pake kurir toko, cepat, aman -Produk (5/5) BNIB asli greenpeel non aktif Thank you seller!; 0; tech; -
Beli 3 mobo 1155 2 bagus 1 mati, sempet sekali return kirain di benerin , kan kalo rusak kena garansi eh sama aja..belum ada tindakan lanjut dari seller. Semoga ada faedahnya.; 0 ;tech; -
Pengiriman cepat namun sayang sekali LDCnya tidak ori karena sensornya tidak responsif, gambarnya kurang tajam dan warna kekuningan walaupun saya tahu ini second tapi sangat disayangkan.; 0; tech; -
Langsung di pake dan bener2 memuaskan, walaupun pertama dikonfirmasi klo barangnya kosong tapi sehari berikutnya diusahakan untuk sesuai pesanan dan sampailah, wlpun ternyata nano+esim tp gpp, terimakasih kak💕; 1; tech; -
Thanks ya, sesuai harapan sekali, price nya paling humble tapi kualitas barang sama dan original 100%, penjual selalu respon dengan ramah, sukses. Terimakasih dan sukses selalu 🤗; 1; tech; -
printer ga berjalan sebagaimana mestinya, ketika saya print, malah macet. ketika kertas selesai di print hasilnya seperti itu. di tulisan toko 7 hari pengembalian, tapi saya malah suruh ke service center HP untuk klaim garansi, kalau seperti ini saya sama saja kerja 2 kali dan membeli printer ke tko; 0; tech; -
Pesan 2 tapi hanya datang 1 minta pengembalian Dana yang barang tidak ada tapi dibuat ribet, harga cash tidak seberapa juga tapi gpp ga akan beli disini lagi; 0; acc; -
Ini kenapa bawahnya gaada ya? Model baru atau apa? Terus wanginya juga gaenak banget.; 0; acc; -
Beli beberapa order dalam 3 hari, seller tidak teliti dan mengirim size yang salah. Waktu saya tanya, masih ga teliti dikira order kemaren.  Untung yang kali ini direfund yaudala capek tapi. Uda trakhir beli disini wkwk bhay; 0; acc; -
Warna tidak sesuai dengan di gambar. Saat saya tanya kenapa begitu alasannya ‘kami mengganti warna karena customer tidak suka warna sebelumnya’ lah kok ga tanya saya dulu gitu... kecewa bgt males minta refund karena dia ngegas sendiri; 0; acc; -
Saya pernah beli kuning (yang kiri) pertama aslinya gitu warnanya, eh beli kedua datang warnanya sangat pudar. Toko ga konsisten, penjual ditanya, alasannya banyak banget. Capede; 0; acc; -
Baru datang barang nya Ada deffect dan itu tidak bisa d hilangkan; 0; acc; -
Apasi ni customer service ngegas banget. Dia banyak salah, aku kasi bintang 1... eh dia marah-marah. Coba diperhatikan para pemirsah~~; 0; acc; -
Bagus banget ga nyesel, ini pen beli lagi, rekomen deh gpp mahal emng kualitar nya dbest wkwk, gakan nyesel, ya walopun lma bgt krna lg kondisi gini yah, jd nympenya -+ 2 mingguan udah dikarantina di jalan wkwkwk; 1; acc; -
Tebel banget casenyaa aku baru tau bakal setebel ituuuu waw. Ada lecet sedikit tp ga masalah👍🏻; 1; acc; -
Bagus banget, warnanya sesuai. Worth it untuk dibeli dengan harga dibawah 50k. Pengirimannya juga lumayan cepat. Namun sayangnya permukaan agak licin.; 1; acc; -
Nunggu lamaa bet tapi ngerti sih karena dari cina tapi pilih warna ungu tang datang warna pink😭 aku maapkan bikos bahannnya bagus dan cangtip” uhuy; 1; acc; -
Ternyata sampai lebih cepat di banding keterangannya! Sumpah bagus banget . Dan bahannya pun tebal + halus . Real pic bgt!!!!!! ✨✨✨✨♥️♥️; 1; acc; -
Alhamdulillah produknya sudah sampai, walaupun pengirimannya hampir seminggu tidak apa” karena keadaan wabah juga. Kuliatas produknya sangat baik, pesanannya sesuai dengan yg dipesan, respon penjualnya juga sangat baik dan ramah, bakal jadi langganan nih👍🏻; 1; acc; -
Akhirnya yg di tunggu2 datang yuhuuu, pengiriman emang lama bgt nyampenya ya sesuai lah sama tanggal garansi shopeenya, kualitas produk bagus bgt serius baguuuus bgt ini!! Terharus, produk sempurna!! Terimakasih💕💕; 1; acc; -
Bagus banget dan packagingnya rapi. Warnanya juga sesuai dengan yang ada digambar. Tidak mengecewakan, pengiriman cukup cepat. Dan dikasih bonus gantungan kunci.; 1; acc; -
bagus banget case nya woii😭 ini sih kaya ori nyesel banget cuma beli satu. next time bakal beli disini lagi❤️❤️ dapet bonus gantungan kunci jugaa, makasyii🥰🥺; 1; acc; -
Casenya keras gtu sempit d pakenya smpe anti goresnya retak kameranya juga ga pas bentukanya :( tapi bahan dan warnanya bagus; 1; acc; -
Warna casing sesuai dgn ekspektasi, udah di pake juga ok, cuman ada sedikit cuil di bagian kanan layar, karet casing bagian bawah lentur, sudut2 casing nya juga kokoh keras, lumayan ok casingnya dan hrga juga terjangkau; 1; acc; -
Translator mempersatukan seller dan buyer Sellernya komunikatif bgt loh, sebut warna tp salah nomer mau tanya dan benerin 👍🏻 Plus dapet bonus cute keychain; 1; acc; -
Mantap betul lah poko nya gg nyesel beli di sini bahan nya soft sekale dan elegan; 1; acc; -
Owner nya baik banget baru pertama kali order udh dikasih bonus,awalnya ragu² karna takut gk laku tapi baru dateng barangnya langsung diserbu ga keburu foto yg full nya sisa segitu aja thank you kak!♥️; 1; acc; -
Gantungan kuncinya bagus... cocok buat souvenir yg lg kekikinan...; 1; acc; -
Gantungannya bagus lucu unik, istri juga suka... Next insyallah mau order lgi...; 1; acc; -
Gelangnya lucuu bangetttt, tapi datang nya lamaa :') Aku suka, tapi bingung make nya gimana talinya ribet😅 Overall bagus bgtt; 1; acc; -
Dari tgl 8 desember 2019 sampai sekarang 4 januari 2020 barang gak ada 😂 Gak tau Gimana pengen dinilai aja 😂; 0; acc; -
Ternyata lebih kecil q no de yg di indo.. apa mungkin memang beda model ya.. biasanya pake 8 di jari manis..ini yng 8 maksa. Yang 9 cukup d jari manis😅👍; 1; acc; -
Brg kurang baik, huruf nya copot; 0; acc; -
Anting nya lucu2 tapii sayang banyak yang bengkok2 bagian belakangnya jadi ga bisa di pakai 😭😭😭😭; 0; acc; -
